id_in_session,participant.code,_is_bot,_index_in_pages,_max_page_index,_current_app_name,_current_page_name,time_started,visited,mturk_worker_id,mturk_assignment_id,payoff,payoff_plus_participation_fee,session.code,label,mturk_HITId,mturk_HITGroupId,comment,_demo,cfg.real_world_currency_per_point,cfg.participation_fee,cfg.matching_method,cfg.compute_distance,intro.1.id_in_group,intro.1.payoff,intro.1.id_in_subsession,intro.1.round_number,import_database.1.id_in_group,import_database.1.payoff,import_database.1.id_in_subsession,import_database.1.round_number,survey.1.id_in_group,survey.1.ip,survey.1.lat,survey.1.long,survey.1.sex,survey.1.date,survey.1.marital,survey.1.children,survey.1.children_number,survey.1.children_first_age,survey.1.language,survey.1.language_other,survey.1.zip,survey.1.ethnicity,survey.1.ethnicity_choice,survey.1.ethnicity_choice_other,survey.1.race,survey.1.race_indian_other,survey.1.race_asian_other,survey.1.race_other,survey.1.religion,survey.1.religion_denomination,survey.1.religion_denomination_other,survey.1.home,survey.1.home_other,survey.1.guns,survey.1.place_growing_up,survey.1.highest_degree,survey.1.elementary_secondary_choices,survey.1.elementary_secondary_choices_incomplete_high_school,survey.1.high_school_choices,survey.1.college_choices,survey.1.after_bachelor_choices,survey.1.major_college,survey.1.major_bachelor,survey.1.country_growing_up,survey.1.us_state_grow_up,survey.1.another_country_grow_up,survey.1.us_citizen,survey.1.us_citizen_options,survey.1.work_last_week,survey.1.profession,survey.1.employer,survey.1.work_tasks,survey.1.unemployed_10_years,survey.1.labor_union,survey.1.household_income,survey.1.income_group_placement,survey.1.sixteen_yo_comparison,survey.1.parental_comparison_standards,survey.1.social_class,survey.1.financial_satisfaction,survey.1.importance_democracy,survey.1.american_pride,survey.1.political_party,survey.1.other_political_party,survey.1.politcal_views,survey.1.executive_branch_confidence,survey.1.congress_confidence,survey.1.supreme_court_confidence,survey.1.military_confidence,survey.1.police_confidence,survey.1.banks_confidence,survey.1.unions_confidence,survey.1.public_ed_confidence,survey.1.press_confidence,survey.1.improve_condition_blacks,survey.1.improve_condition_abroad,survey.1.protecting_environment,survey.1.government_redistribution,survey.1.income_tax_level,survey.1.death_penalty,survey.1.affirmative_action,survey.1.sex_before_marriage,survey.1.same_sex_relations,survey.1.abortion,survey.1.people_helpful,survey.1.people_take_advantage_of_you,survey.1.people_trustworthy,survey.1.payoff,survey.1.id_in_subsession,survey.1.round_number,narrative.1.id_in_group,narrative.1.match_displayed,narrative.1.match_displayed_name,narrative.1.tweet,narrative.1.payoff,narrative.1.id_in_subsession,narrative.1.round_number,ios_discrete.1.id_in_group,ios_discrete.1.match_displayed,ios_discrete.1.match_displayed_name,ios_discrete.1.ios_distance,ios_discrete.1.ios_overlap,ios_discrete.1.ios_number,ios_discrete.1.ios_type,ios_discrete.1.payoff,ios_discrete.1.id_in_subsession,ios_discrete.1.round_number,filler.1.id_in_group,filler.1.target_0,filler.1.input_0,filler.1.is_correct_0,filler.1.target_1,filler.1.input_1,filler.1.is_correct_1,filler.1.target_2,filler.1.input_2,filler.1.is_correct_2,filler.1.target_3,filler.1.input_3,filler.1.is_correct_3,filler.1.target_4,filler.1.input_4,filler.1.is_correct_4,filler.1.target_5,filler.1.input_5,filler.1.is_correct_5,filler.1.target_6,filler.1.input_6,filler.1.is_correct_6,filler.1.target_7,filler.1.input_7,filler.1.is_correct_7,filler.1.target_8,filler.1.input_8,filler.1.is_correct_8,filler.1.target_9,filler.1.input_9,filler.1.is_correct_9,filler.1.payoff,filler.1.id_in_subsession,filler.1.round_number,ios_discrete_pictures.1.id_in_group,ios_discrete_pictures.1.match_displayed,ios_discrete_pictures.1.match_displayed_name,ios_discrete_pictures.1.ios_distance,ios_discrete_pictures.1.ios_overlap,ios_discrete_pictures.1.ios_number,ios_discrete_pictures.1.ios_type,ios_discrete_pictures.1.payoff,ios_discrete_pictures.1.id_in_subsession,ios_discrete_pictures.1.round_number,outro.1.id_in_group,outro.1.comments,outro.1.payoff,outro.1.id_in_subsession,outro.1.round_number,ios_continuous.1.id_in_group,ios_continuous.1.match_displayed,ios_continuous.1.match_displayed_name,ios_continuous.1.ios_distance,ios_continuous.1.ios_overlap,ios_continuous.1.ios_type,ios_continuous.1.payoff,ios_continuous.1.id_in_subsession,ios_continuous.1.round_number,match0.distance_sex,match0.distance_date,match0.distance_miles,match0.distance_ethnicity,match0.distance_ethnicity_choice,match0.distance_race,match0.distance_religion,match0.distance_religion_denomination,match0.distance_country_growing_up,match0.distance_us_state_grow_up,match0.distance_another_country_grow_up,match0.objective_distance_corrected,is_mturker,participant_unique_id,match0.code,match0.sex,match0.date,match0.ethnicity,match0.ethnicity_choice,match0.race,match0.religion,match0.religion_denomination,match0.country_growing_up,match0.us_state_grow_up,match0.another_country_grow_up,match0.zip,match0.city,match0.lat,match0.long,match0.state,match0.state_short,match0.time_started,match0.mturk_worker_id,match0.mturk_assignment_id,match0.session.code,match0.session.mturk_HITId,match0.session.mturk_HITGroupId,match0.objective_distance
1,655c2l34,0,17,17,outro,End,2020-11-16 18:50:43.019829+00:00,1,A2VO*****IQY9,3W2L*****9KRS,1.0,1.5,hap6zgo3,,3K3G488TR2LQITOSAOFNWTOSJ3SQ5S,30E2X49V50Q36HM7YJ9NNKHGKHFN3O,,0,1.0,0.5,random,1,1,0.0,1,1,1,0.0,1,1,1,98.212.214.93,42.052,-88.0445,male,10/05/1988,never,0.0,,,other,Marathi,60173,0.0,,,asian indian,,,,0.0,,,five or more apartments,,0.0,suburb,beyond bachelors,,,,,masters degree,,Computer Science,another country,,IN,0.0,,full time work,Software engineer,private business,0.777777777777778,1.0,0.0,0.791666666666667,0.555555555555556,0.75,0.75,middle class,0.0,1.0,0.666666666666667,independent,,0.166666666666667,0.5,0.5,0.5,0.0,0.5,0.0,0.5,1.0,0.0,1.0,0.5,1.0,0.833333333333333,0.5,1.0,0.666666666666667,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1,1,0.0,Club,This person must be conservative. He must be family oriented.,0.0,1,1,,,,,,,,,,,1,962.0,962.0,1.0,833.0,833.0,1.0,511.0,511.0,1.0,326.0,326.0,1.0,209.0,209.0,1.0,1131.0,1131.0,1.0,1485.0,1485.0,1.0,38.0,38.0,1.0,714.0,714.0,1.0,150.0,150.0,1.0,1.0,1,1,1,0.0,Club,0.514285714285714,0.282501619467516,3.0,7.0,0.0,1,1,1,,0.0,1,1,1.0,0.0,Club,0.629609375,0.181882373484524,'continuous',0.0,1.0,1.0,False,0.1719028237089799,0.0975835023258643,False,False,True,False,False,True,True,True,0.3881351205486222,True,481,htrx9j3a,male,1996-02-29 00:00:00,False,,white,False,,usa,OH,,37087,Lebanon,36.2,-86.31999999999998,Tennessee,TN,2019-11-11 03:44:32.015193+00:00,A1FN*****BU8U,38JB*****V4EC,sdxr3o9o,324N5FAHSXOL5K5C3AD3456IODFKVP,3NAD71TD7UOOXZN3I6F3RI79EEBL25,0.569953302366804
3,abtzr204,0,17,17,outro,End,2020-11-16 18:50:51.438524+00:00,1,A2Y5*****FR8H,3YGX*****GC4O,1.0,1.5,hap6zgo3,,3K3G488TR2LQITOSAOFNWTOSJ3SQ5S,30E2X49V50Q36HM7YJ9NNKHGKHFN3O,,0,1.0,0.5,random,1,3,0.0,1,1,3,0.0,1,1,3,45.36.143.166,36.148,-80.3242,male,03/10/1977,married,1.0,1.0,40.0,english,,27106,0.0,,,white,,,,0.0,,,one family detached,,0.0,suburb,college or some college,,,,bachelors degree,,Finance,,usa,ME,,1.0,born usa,full time work,Investment Director,private business,1.0,0.0,0.0,1.0,0.777777777777778,0.5,1.0,upper class,0.5,1.0,0.666666666666667,independent,,0.666666666666667,0.0,0.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.0,0.0,1.0,0.666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1,3,0.0,Heart,Seems like a pretty ordinary American male so far.  Nothing out of the ordinary,0.0,1,1,,,,,,,,,,,3,669.0,669.0,1.0,21.0,21.0,1.0,916.0,916.0,1.0,77.0,77.0,1.0,165.0,165.0,1.0,64.0,64.0,1.0,954.0,954.0,1.0,27.0,27.0,1.0,938.0,938.0,1.0,179.0,179.0,1.0,1.0,1,1,3,0.0,Heart,0.51424560546875,0.277121481077003,3.0,7.0,0.0,1,1,3,,0.0,1,1,3.0,0.0,Heart,0.595454711914063,0.20925479807263,'continuous',0.0,1.0,1.0,False,0.2227537618509176,0.063979895987145,False,False,False,False,False,False,True,False,0.1169757870761875,True,512,rgbybqt2,male,1984-03-14 00:00:00,False,,white,False,,usa,OH,,43220,Columbus,39.98,-82.98,Ohio,OH,2019-11-10 03:08:20.789668+00:00,A7P3*****4TVV,3FPR*****IV34,8nv7gxxo,34F34TZU7WCHX91SXFTG1L9UCQHJ2C,3NAD71TD7UOOXZN3I6F3RI79EEBL25,0.3897030598034602
4,tceg3h82,0,17,17,outro,End,2020-11-16 18:51:19.492709+00:00,1,A3UQ*****Y7JB,3A9A*****QP5K,1.0,1.5,hap6zgo3,,3K3G488TR2LQITOSAOFNWTOSJ3SQ5S,30E2X49V50Q36HM7YJ9NNKHGKHFN3O,,0,1.0,0.5,random,1,4,0.0,1,1,4,0.0,1,1,4,63.160.143.64,38.8497,-90.2839,male,02/27/1983,married,1.0,2.0,16.0,english,,63034,1.0,mexican,,white,,,,1.0,roman catholic,,one family attached,,1.0,medium city,college or some college,,,,bachelors degree,,computerscience,,usa,MT,,1.0,born usa,full time work,supervisor,private business,0.666666666666667,1.0,1.0,0.25,0.777777777777778,0.5,0.25,working class,0.5,0.777777777777778,0.666666666666667,republican,,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.833333333333333,1.0,1.0,0.0,0.666666666666667,0.333333333333333,1.0,1.0,1.0,1.0,0.0,1,1,4,0.0,Heart,"good useful flexible, good for love from others very useful",0.0,1,1,,,,,,,,,,,4,14.0,14.0,1.0,291.0,291.0,1.0,117.0,117.0,1.0,799.0,799.0,1.0,17.0,17.0,1.0,78.0,78.0,1.0,1154.0,1154.0,1.0,268.0,268.0,1.0,114.0,114.0,1.0,61.0,61.0,1.0,1.0,1,1,4,0.0,Heart,0.385714285714286,0.426436887950182,4.0,7.0,0.0,1,1,4,good,0.0,1,1,4.0,0.0,Heart,1.0,0.0,'continuous',0.0,1.0,1.0,False,0.1992395993273378,0.1210191061891557,True,True,False,True,True,False,True,False,0.4836598823196812,True,733,8jucqcbw,male,1990-08-14 00:00:00,False,,white,False,,usa,SD,,57042,Madison,44.0,-97.1,South Dakota,SD,2019-11-13 03:29:39.040058+00:00,A3EG*****5DUR,3NLZ*****NQLZ,uj6jw84z,3ZCC2DXSD7HXTJPYC01EKCPN4BOYY9,3NAD71TD7UOOXZN3I6F3RI79EEBL25,0.5745689732287722
5,fp3vawu4,0,17,17,outro,End,2020-11-16 18:52:01.159868+00:00,1,A2I3*****2OL0,32SC*****1P60,1.0,1.5,hap6zgo3,,3K3G488TR2LQITOSAOFNWTOSJ3SQ5S,30E2X49V50Q36HM7YJ9NNKHGKHFN3O,,0,1.0,0.5,random,1,5,0.0,1,1,5,0.0,1,1,5,98.17.17.61,31.0472,-83.1006,female,06/23/1955,divorced,1.0,1.0,30.0,english,,31635,0.0,,,white,,,,1.0,protestant,,one family detached,,0.0,open country,college or some college,,,,bachelors degree,,P.E.,,usa,NH,,1.0,born usa,full time work,Project Coordinator,private business,0.555555555555556,1.0,0.0,0.583333333333333,0.444444444444444,0.25,0.5,middle class,0.0,1.0,1.0,independent,,0.5,0.0,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.0,0.666666666666667,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1,5,0.0,Spade,"She is young and naïve having grown up in the Roman Catholic Church, and still living in the same area. There's a good chance she went to a Catholic school -- perhaps all girls even. She would be against abortion and might be abstaining from sex if she isn't married. Although I have discovered that Catholics were a lot of times the first to engage in sex.",0.0,1,1,,,,,,,,,,,5,167.0,167.0,1.0,299.0,299.0,1.0,123.0,123.0,1.0,69.0,69.0,1.0,1172.0,1172.0,1.0,340.0,340.0,1.0,163.0,163.0,1.0,798.0,798.0,1.0,329.0,329.0,1.0,1360.0,1360.0,1.0,1.0,1,1,5,0.0,Spade,1.0,0.0,1.0,7.0,0.0,1,1,5,I thought your study was comprehensive and well thought out. Thank you.,0.0,1,1,5.0,0.0,Spade,1.0,0.000590788806489,'continuous',0.0,1.0,1.0,False,0.867023238657322,0.1447207709657344,False,False,False,False,True,False,True,False,0.2737949099657324,True,382,lbhdg1xi,female,1994-02-01 00:00:00,False,,white,True,roman catholic,usa,PA,,15601,Greensburg,40.31,-79.54000000000002,Pennsylvania,PA,2019-11-11 15:08:44.401350+00:00,A2Z7*****5OOI,3TK8*****XVP7,0fmhktmc,3D3B8GE8924OJ4PPD1DF843KRWM9PL,3NAD71TD7UOOXZN3I6F3RI79EEBL25,0.4556130917839142
6,m0c2chrw,0,17,17,outro,End,2020-11-16 18:52:01.925891+00:00,1,A1M2*****5Z3C,3IHR*****VP4F,1.0,1.5,hap6zgo3,,3K3G488TR2LQITOSAOFNWTOSJ3SQ5S,30E2X49V50Q36HM7YJ9NNKHGKHFN3O,,0,1.0,0.5,random,1,6,0.0,1,1,6,0.0,1,1,6,174.214.28.119,39.0151,-84.7516,male,10/07/1992,married,1.0,1.0,25.0,english,,41005,0.0,,,white,,,,1.0,protestant,,boat,,0.0,small town,high school graduate,,,high school diploma,,,,,usa,VA,,1.0,born usa,full time work,warehouse,private business,0.0,0.0,0.0,0.666666666666667,0.222222222222222,0.0,0.5,working class,0.5,1.0,0.666666666666667,republican,,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,6,0.0,Club,She seems like a typical American. I'm not sure which part of Ohio she is from the southern part is much different from the rest of the state. She's probably a normal everyday person,0.0,1,1,,,,,,,,,,,6,63.0,63.0,1.0,1036.0,1036.0,1.0,362.0,362.0,1.0,621.0,621.0,1.0,1640.0,1640.0,1.0,613.0,613.0,1.0,816.0,816.0,1.0,1843.0,1843.0,1.0,731.0,731.0,1.0,983.0,983.0,1.0,1.0,1,1,6,0.0,Club,0.671428571428571,0.148067452705713,2.0,7.0,0.0,1,1,6,,0.0,1,1,6.0,0.0,Club,0.66,0.158412178697966,'continuous',0.0,1.0,1.0,True,0.150986210507942,0.1113380064312525,False,False,False,True,True,False,True,False,0.387484019721745,True,146,tkmz2u11,female,1985-08-30 00:00:00,False,,white,False,,usa,OH,,29445,Goose Creek,32.98,-79.98999999999998,South Carolina,SC,2019-11-10 01:35:33.500731+00:00,A21X*****HL4A,3DOC*****3NNR,filxv1e0,3CZH926SICRJP7UNNS1DXKT0RWHE4I,3NAD71TD7UOOXZN3I6F3RI79EEBL25,0.5693022015399268
7,l1reowvo,0,17,17,outro,End,2020-11-16 18:52:51.717091+00:00,1,A28A*****PH1F,3C8H*****NMZS,1.0,1.5,hap6zgo3,,3K3G488TR2LQITOSAOFNWTOSJ3SQ5S,30E2X49V50Q36HM7YJ9NNKHGKHFN3O,,0,1.0,0.5,random,1,7,0.0,1,1,7,0.0,1,1,7,173.91.109.51,41.4517,-82.156,male,03/06/1984,married,0.0,,,english,,44052,0.0,,,white,,,,0.0,,,one family detached,,1.0,medium city,college or some college,,,,associates degree,,Psychology,,usa,OH,,1.0,born usa,full time work,IT,private business,0.888888888888889,1.0,0.0,0.0416666666666667,0.0,0.0,0.0,lower class,0.0,1.0,0.333333333333333,independent,,0.166666666666667,0.0,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.5,1.0,1.0,0.5,1.0,0.333333333333333,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1,7,0.0,Spade,Religious.  Hard working  fair  kind  trustworthy  Nice,0.0,1,1,,,,,,,,,,,7,121.0,121.0,1.0,628.0,628.0,1.0,1290.0,1290.0,1.0,325.0,325.0,1.0,178.0,178.0,1.0,58.0,58.0,1.0,933.0,933.0,1.0,189.0,189.0,1.0,1855.0,1855.0,1.0,23.0,23.0,1.0,1.0,1,1,7,0.0,Spade,0.514285714285714,0.282501619467516,3.0,7.0,0.0,1,1,7,,0.0,1,1,7.0,0.0,Spade,0.41,0.395355314951229,'continuous',0.0,1.0,1.0,False,0.1537366548042704,0.3738980854068076,False,False,False,True,True,False,True,False,0.3206940672919162,True,303,jki633cj,male,1978-04-07 00:00:00,False,,white,True,protestant,usa,WA,,85710,Tucson,32.22,-110.82,Arizona,AZ,2019-11-13 17:13:44.283251+00:00,AXKV*****EOVT,3U4J*****RB7D,q5os6ozr,3J9L0X0VDFZE3DMQPNRA0YBGLVP9WL,3NAD71TD7UOOXZN3I6F3RI79EEBL25,0.5025122491100981
8,2coyn6vs,0,17,17,outro,End,2020-11-16 18:54:01.711725+00:00,1,A2C7*****HTIW,3UNH*****JMY1,1.0,1.5,hap6zgo3,,3K3G488TR2LQITOSAOFNWTOSJ3SQ5S,30E2X49V50Q36HM7YJ9NNKHGKHFN3O,,0,1.0,0.5,random,1,8,0.0,1,1,8,0.0,1,1,8,76.95.9.5,33.831,-117.6139,male,08/14/1997,never,0.0,,,english,,92882,0.0,,,korean,,,,1.0,protestant,,one family detached,,0.0,suburb,college or some college,,,,bachelors degree,,psychology,,usa,CA,,1.0,born usa,full time work,nurse assistant,private business,0.888888888888889,1.0,0.0,0.791666666666667,0.666666666666667,0.75,0.75,middle class,0.5,0.888888888888889,0.666666666666667,democrat,,0.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.833333333333333,1.0,1.0,0.333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,8,0.0,Spade,He is most likely a republican. He has a lot of pride for the US.,0.0,1,1,,,,,,,,,,,8,638.0,638.0,1.0,6.0,6.0,1.0,852.0,852.0,1.0,1532.0,1532.0,1.0,1647.0,1647.0,1.0,47.0,47.0,1.0,722.0,722.0,1.0,1784.0,1784.0,1.0,1599.0,1599.0,1.0,399.0,399.0,1.0,1.0,1,1,8,0.0,Spade,1.0,0.0,1.0,7.0,0.0,1,1,8,,0.0,1,1,8.0,0.0,Spade,1.0,0.0,'continuous',0.0,1.0,1.0,False,0.2630412996466058,0.60505257231331,False,False,True,True,True,False,True,False,0.4425539883599923,True,337,ha1rlm1w,male,1983-12-19 00:00:00,False,,white,False,,usa,IL,,61820,Champaign,40.11,-88.26000000000002,Illinois,IL,2019-11-13 01:08:25.185721+00:00,A1PF*****HUY4,3R5F*****XOZQ,by5f47v7,3LOJFQ4BOXSZB35QCPD9YJ0BO83KDM,3NAD71TD7UOOXZN3I6F3RI79EEBL25,0.6243721701781741
9,3x99ecn2,0,17,17,outro,End,2020-11-16 18:56:43.400844+00:00,1,A163*****DG1F,3N2B*****6HMX,1.0,1.5,hap6zgo3,,3K3G488TR2LQITOSAOFNWTOSJ3SQ5S,30E2X49V50Q36HM7YJ9NNKHGKHFN3O,,0,1.0,0.5,random,1,9,0.0,1,1,9,0.0,1,1,9,66.66.148.164,43.187,-77.6003,male,01/07/1984,never,0.0,,,english,,14621,0.0,,,black,,,,0.0,,,five or more apartments,,0.0,medium city,college or some college,,,,less than 1 year college,,business,,usa,NY,,1.0,born usa,full time work,Data Entry,self employed,0.666666666666667,0.0,0.0,0.0416666666666667,0.111111111111111,0.25,0.5,lower class,0.0,1.0,0.333333333333333,republican,,0.333333333333333,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.333333333333333,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,9,0.0,Club,My first thought was. Why would a black guy consider himself to be Mexican.,0.0,1,1,,,,,,,,,,,9,21.0,21.0,1.0,1340.0,1340.0,1.0,82.0,82.0,1.0,645.0,645.0,1.0,277.0,277.0,1.0,1220.0,1220.0,1.0,133.0,133.0,1.0,984.0,984.0,1.0,1010.0,1010.0,1.0,131.0,131.0,1.0,1.0,1,1,9,0.0,Club,1.0,0.0,1.0,7.0,0.0,1,1,9,Good luck.,0.0,1,1,9.0,0.0,Club,0.98,0.0030682424933322,'continuous',0.0,1.0,1.0,False,0.1120005717961546,0.2652159815729509,True,True,False,True,True,False,True,False,0.4888378684881005,True,48,fu6uav82,male,1988-04-22 00:00:00,True,mexican,black,True,roman catholic,usa,TX,,75241,Dallas,32.79,-96.76,Texas,TX,2019-11-10 01:35:26.571907+00:00,A2KN*****BLBW,3QAV*****4LA3,filxv1e0,3CZH926SICRJP7UNNS1DXKT0RWHE4I,3NAD71TD7UOOXZN3I6F3RI79EEBL25,0.5797469593971915
10,c48i5k3t,0,17,17,outro,End,2020-11-16 18:57:47.725235+00:00,1,A353*****4JHP,3TXW*****G9SB,1.0,1.5,hap6zgo3,,3K3G488TR2LQITOSAOFNWTOSJ3SQ5S,30E2X49V50Q36HM7YJ9NNKHGKHFN3O,,0,1.0,0.5,random,1,10,0.0,1,1,10,0.0,1,1,10,212.162.148.89,32.9598,-96.8385,male,05/03/1985,married,0.0,,,english,,75001,0.0,,,white,,,,0.0,,,one family detached,,0.0,small town,college or some college,,,,bachelors degree,,engineering,,usa,TX,,1.0,born usa,full time work,Programmer,private business,0.666666666666667,0.0,0.0,0.833333333333333,0.666666666666667,0.25,0.5,middle class,1.0,0.777777777777778,1.0,democrat,,0.0,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.833333333333333,0.5,1.0,0.333333333333333,0.0,0.333333333333333,1.0,0.0,1.0,1.0,0.0,1,1,10,0.0,Club,"The first thing that comes to my mind is wondering what a person's underlying motive is. I wonder about how sincere and authentic and inidivudal really is, not what they appear to be like on the external surface.",0.0,1,1,,,,,,,,,,,10,1276.0,1276.0,1.0,820.0,820.0,1.0,299.0,299.0,1.0,992.0,992.0,1.0,261.0,261.0,1.0,816.0,816.0,1.0,98.0,98.0,1.0,1255.0,1255.0,1.0,1500.0,1500.0,1.0,265.0,265.0,1.0,1.0,1,1,10,0.0,Club,0.271428571428571,0.571396870057877,5.0,7.0,0.0,1,1,10,,0.0,1,1,10.0,0.0,Club,1.0,0.0,'continuous',0.0,1.0,1.0,False,0.2731983693774615,0.1679805518098592,False,False,False,False,False,False,True,False,0.1310162655624837,True,562,htrx9j3a,male,1996-02-29 00:00:00,False,,white,False,,usa,OH,,37087,Lebanon,36.2,-86.31999999999998,Tennessee,TN,2019-11-11 03:44:32.015193+00:00,A1FN*****BU8U,38JB*****V4EC,sdxr3o9o,324N5FAHSXOL5K5C3AD3456IODFKVP,3NAD71TD7UOOXZN3I6F3RI79EEBL25,0.4037435382897564
11,xpbnih11,0,17,17,outro,End,2020-11-16 18:59:50.785736+00:00,1,AFX4*****8IED,3EJJ*****5HRL,1.0,1.5,hap6zgo3,,3K3G488TR2LQITOSAOFNWTOSJ3SQ5S,30E2X49V50Q36HM7YJ9NNKHGKHFN3O,,0,1.0,0.5,random,1,11,0.0,1,1,11,0.0,1,1,11,74.67.64.222,41.0406,-73.8594,female,01/30/1995,never,0.0,,,english,,10533,0.0,,,white,,,,1.0,roman catholic,,mobile home,,1.0,large city,high school graduate,,,GED,,,,,usa,NY,,1.0,born usa,full time work,marketing,private business,0.666666666666667,1.0,1.0,0.75,0.666666666666667,0.5,0.75,middle class,0.5,0.666666666666667,0.666666666666667,democrat,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666666667,0.5,0.0,0.666666666666667,0.666666666666667,0.666666666666667,1.0,1.0,1.0,1.0,0.0,1,1,11,0.0,Club,this participant is 37 years old does not belong to a religious denomination.,0.0,1,1,,,,,,,,,,,11,334.0,334.0,1.0,1342.0,1342.0,1.0,1135.0,1135.0,1.0,1061.0,1061.0,1.0,250.0,250.0,1.0,334.0,334.0,1.0,140.0,140.0,1.0,144.0,144.0,1.0,1556.0,1556.0,1.0,1310.0,1310.0,1.0,1.0,1,1,11,0.0,Club,0.671428571428571,0.148067452705713,2.0,7.0,0.0,1,1,11,nice,0.0,1,1,11.0,0.0,Club,0.007166748046875,0.987140036197059,'continuous',0.0,1.0,1.0,True,0.2289818101153505,0.512464497398286,False,False,True,True,True,False,True,False,0.5219496643194215,True,834,0yppc555,male,1983-10-11 00:00:00,False,,filipino,False,,usa,CA,,95148,San Jose,37.33,-121.77,California,CA,2019-11-11 03:38:18.142476+00:00,A1YS*****BOHW,3TXW*****I9SE,sdxr3o9o,324N5FAHSXOL5K5C3AD3456IODFKVP,3NAD71TD7UOOXZN3I6F3RI79EEBL25,0.7037678461376033
