session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
gi0jtrru,1,c1sq7zsq,10,ios_discrete_pictures,Task,1605547537,1,0,0
gi0jtrru,1,c1sq7zsq,11,filler,Intro,1605547540,1,0,0
gi0jtrru,1,c1sq7zsq,12,filler,Task,1605547557,1,0,0
gi0jtrru,1,c1sq7zsq,13,filler,Result,1605547560,1,0,0
gi0jtrru,1,c1sq7zsq,14,ios_discrete,Intro,1605547567,1,0,0
gi0jtrru,1,c1sq7zsq,15,ios_discrete,Task,1605547571,1,0,0
gi0jtrru,1,c1sq7zsq,16,outro,Feedback,1605547578,1,0,0
hap6zgo3,1,655c2l34,1,intro,Welcome,1605552644,1,0,0
hap6zgo3,1,655c2l34,2,survey,Intro,1605552647,1,0,0
hap6zgo3,2,wgoqf11t,1,intro,Welcome,1605552652,1,0,0
hap6zgo3,3,abtzr204,1,intro,Welcome,1605552653,1,0,0
hap6zgo3,3,abtzr204,2,survey,Intro,1605552655,1,0,0
hap6zgo3,2,wgoqf11t,2,survey,Intro,1605552661,1,0,0
pqntdh2k,1,0tq85pbh,1,intro,Welcome,1605552675,1,0,0
pqntdh2k,1,0tq85pbh,2,survey,Intro,1605552676,1,0,0
pqntdh2k,2,kggjvibp,1,intro,Welcome,1605552682,1,0,0
pqntdh2k,2,kggjvibp,2,survey,Intro,1605552684,1,0,0
pqntdh2k,3,rn4t4k3v,1,intro,Welcome,1605552686,1,0,0
pqntdh2k,3,rn4t4k3v,2,survey,Intro,1605552689,1,0,0
hap6zgo3,4,tceg3h82,1,intro,Welcome,1605552689,1,0,0
pqntdh2k,4,licb3t81,1,intro,Welcome,1605552691,1,0,0
pqntdh2k,4,licb3t81,2,survey,Intro,1605552693,1,0,0
hap6zgo3,3,abtzr204,3,survey,Part1,1605552696,1,0,0
hap6zgo3,4,tceg3h82,2,survey,Intro,1605552701,1,0,0
morw9hf0,4,xkqb0ukb,1,intro,Welcome,1605552702,1,0,0
morw9hf0,2,w4ytqlkk,1,intro,Welcome,1605552702,1,0,0
morw9hf0,4,xkqb0ukb,2,survey,Intro,1605552704,1,0,0
morw9hf0,2,w4ytqlkk,2,survey,Intro,1605552706,1,0,0
hap6zgo3,1,655c2l34,3,survey,Part1,1605552709,1,0,0
morw9hf0,3,p6lg7nm7,1,intro,Welcome,1605552711,1,0,0
pqntdh2k,1,0tq85pbh,3,survey,Part1,1605552712,1,0,0
morw9hf0,3,p6lg7nm7,2,survey,Intro,1605552713,1,0,0
bnwhita6,1,d4bg9mk7,1,intro,Welcome,1605552722,1,0,0
morw9hf0,1,u9sum9hy,1,intro,Welcome,1605552725,1,0,0
hap6zgo3,5,fp3vawu4,1,intro,Welcome,1605552726,1,0,0
bnwhita6,1,d4bg9mk7,2,survey,Intro,1605552726,1,0,0
bnwhita6,2,ixyuw6pl,1,intro,Welcome,1605552728,1,0,0
morw9hf0,1,u9sum9hy,2,survey,Intro,1605552729,1,0,0
hap6zgo3,5,fp3vawu4,2,survey,Intro,1605552730,1,0,0
hap6zgo3,6,m0c2chrw,1,intro,Welcome,1605552732,1,0,0
hap6zgo3,6,m0c2chrw,2,survey,Intro,1605552737,1,0,0
morw9hf0,4,xkqb0ukb,3,survey,Part1,1605552738,1,0,0
morw9hf0,2,w4ytqlkk,3,survey,Part1,1605552738,1,0,0
morw9hf0,5,l73tpu9u,1,intro,Welcome,1605552742,1,0,0
morw9hf0,5,l73tpu9u,2,survey,Intro,1605552745,1,0,0
morw9hf0,6,nv937tfn,1,intro,Welcome,1605552750,1,0,0
pqntdh2k,4,licb3t81,3,survey,Part1,1605552751,1,0,0
morw9hf0,6,nv937tfn,2,survey,Intro,1605552752,1,0,0
hap6zgo3,2,wgoqf11t,3,survey,Part1,1605552753,1,0,0
pqntdh2k,2,kggjvibp,3,survey,Part1,1605552755,1,0,0
pqntdh2k,3,rn4t4k3v,3,survey,Part1,1605552755,1,0,0
bnwhita6,4,88yy7412,1,intro,Welcome,1605552756,1,0,0
hap6zgo3,3,abtzr204,4,survey,Part2,1605552758,1,0,0
bnwhita6,3,skexgddt,1,intro,Welcome,1605552760,1,0,0
morw9hf0,7,gkruq4ta,1,intro,Welcome,1605552761,1,0,0
bnwhita6,4,88yy7412,2,survey,Intro,1605552762,1,0,0
bnwhita6,3,skexgddt,2,survey,Intro,1605552765,1,0,0
morw9hf0,7,gkruq4ta,2,survey,Intro,1605552767,1,0,0
bnwhita6,5,cj3odth4,1,intro,Welcome,1605552772,1,0,0
hap6zgo3,7,l1reowvo,1,intro,Welcome,1605552774,1,0,0
morw9hf0,8,0b4jcmgv,1,intro,Welcome,1605552774,1,0,0
