,index,participant.code,participant.mturk_assignment_id,session.code,session.label,session.mturk_HITId,survey.1.player.ip,survey.1.player.lat,survey.1.player.long,survey.1.player.zip,ip_location,ip_lat,ip_long,zip_ip_distance
688,1061,3ejietzx,3N4BPTXIO95NFPE6ON80W30QYJKKUI,6m41pf1n,,3XEIP58NL00DYAS4P7E74BWTA0AZLO,70.112.6.75,30.2415,-97.7688,78704,"{'iplat': '30.24123', 'iplong': '-97.76946'}",30.24123,-97.76946,0.043635428
799,1251,zkzuv67t,3WEV0KO0ON5ZM6GS71RDDPNCTCVDS9,8oh6coid,,3Z33IC0JC0Z1OOMLZDMEEWS2MVNV9N,162.154.128.144,41.1059,-81.4976,44310,"{'iplat': '41.10602', 'iplong': '-81.49848'}",41.10602,-81.49848,0.046672409
821,1277,7z1wc9xq,3ZAZR5XV02VMIQWS2XQAPC2XVRKCZE,8oh6coid,,3Z33IC0JC0Z1OOMLZDMEEWS2MVNV9N,70.113.5.102,27.73,-97.3858,78411,"{'iplat': '27.73003', 'iplong': '-97.38473'}",27.73003,-97.38473,0.065592384
507,771,vkt3jodn,38SKSKU7R2ATQ41OF6VNS0PUTMULI2,7oj5suby,,304QEQWKZPXO2APBY5H7QTX1NYR0O9,70.113.5.102,27.73,-97.3858,78411,"{'iplat': '27.73003', 'iplong': '-97.38473'}",27.73003,-97.38473,0.065592384
160,235,0pmg9fu6,3UXUOQ9OKFAF51TOZO20SXJAK9AA7X,g01kvru7,,39AYGO6AFFX1Y0BEZFXBK57NAOB6NY,74.138.72.17,38.231,-85.7898,40210,"{'iplat': '38.23001', 'iplong': '-85.78981'}",38.23001,-85.78981,0.068285166
696,1069,j3qobjdo,352YTHGROWQXW1JJ3WEL67M47PV4HE,6m41pf1n,,3XEIP58NL00DYAS4P7E74BWTA0AZLO,98.220.163.155,41.5561,-87.6664,60430,"{'iplat': '41.55730', 'iplong': '-87.66560'}",41.5573,-87.6656,0.092617601
350,562,k6q2dw6r,3HYA4D452SW3FRDQ4S7XA7DT7UT2FL,ll1e41pw,,3YCT0L9OMMM6LY9B6S0ELA3FSG4SN8,67.219.146.78,40.1005,-83.0139,43085,"{'iplat': '40.09990', 'iplong': '-83.01570'}",40.0999,-83.0157,0.103967549
413,639,kt8y04wl,3R5F3LQFV3XNRFTVS2Z1KCWEK43OZL,ll1e41pw,,3YCT0L9OMMM6LY9B6S0ELA3FSG4SN8,217.138.208.140,40.7209,-74.0089,10013,"{'iplat': '40.72184', 'iplong': '-74.00695'}",40.72184,-74.00695,0.121190901
178,262,pu241rbn,3P4RDNWND6JNVEDOCLJACLC2OCAIJB,q40of133,,3IV1AEQ4DRQSJO3HDW2HBCMX7ZW8JI,217.138.208.148,40.7209,-74.0089,10013,"{'iplat': '40.72184', 'iplong': '-74.00695'}",40.72184,-74.00695,0.121190901
340,551,b2oalpbi,35L9RVQFCPVWDZDYI253JBKY60PUHT,ll1e41pw,,3YCT0L9OMMM6LY9B6S0ELA3FSG4SN8,217.138.208.140,40.7209,-74.0089,10013,"{'iplat': '40.72184', 'iplong': '-74.00695'}",40.72184,-74.00695,0.121190901
