participantcode,Unique ID generated by oTree
payoff,Payoff in USD for the filler task 
payoff_plus_participation_fee,Total payoff in USD (sum of payoff for the filler task and $0.50 fixed participation fee)
sessioncode,Session code generated by oTree
cfgparticipation_fee,Payoff in USD of the fixed participation fee ($0.50)
narrative1match_displayed_name,"Card suit displayed on card display identifying the target (Club, Diamond, Spade, or Heart)"
narrative1tweet,First things that come to subjects mind when they read the card display about their target in at least 25 characters
ios_discrete1ios_distance,Step-Choice IOS scale variable: distance between the two circles measured centre-to-centre
ios_discrete1ios_overlap,Step-Choice IOS scale variable: proportion overlap between two circles between 0 (no overlap) and 1 (full overlap)
ios_discrete1ios_number,Step-Choice IOS scale variable: number assigned to the seven thresholds of the standard IOS scale between 1 (no overlap) to 7 (most overlap)
ios_discrt_picts1ios_distance,Standard IOS scale variable: distance between the two circles measured centre-to-centre
ios_discrt_picts1ios_overlap,Standard IOS scale variable: proportion overlap between two circles between 0 (no overlap) and 1 (full overlap)
ios_discrete_pictures1ios_number,Standard IOS scale variable: number assigned to the seven thresholds of the standard IOS scale between 1 (no overlap) to 7 (most overlap)
outro1comments,Optional comments by subjects upon conclusion of the experiment
ios_continuous1ios_distance,Continuous IOS scale variable: distance between the two circles measured centre-to-centre
ios_continuous1ios_overlap,Continuous IOS scale variable: proportion overlap between two circles between 0 (no overlap) and 1 (full overlap)
task_order,Order in which subjects saw the standard IOS scale and either the Continuous or Step-Choice IOS scales
Suspicious_Responses,Total of suspicious responses which could result from survey responses. All of our exclusion criteria were pre-registered. The main analysis of our paper allows for at most one suspcious response and our results are similar when we include all participants regardless of whether they satisfy our exclusion criteria.
seconds_experiment,Total number of seconds subjects took when participating in our experiment
survey1ip,Variable from the data-stata.csv file
survey1lat,Variable from the data-stata.csv file
survey1long,Variable from the data-stata.csv file
survey1sex,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1date,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
playerbirthdate,Variable generated from survey1date
survey1marital,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1children,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1children_number,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1children_first_age,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1language,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1language_other,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1zip,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1ethnicity,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1ethnicity_choice,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1ethnicity_choice_other,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1race,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1race_indian_other,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1race_asian_other,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1race_other,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1religion,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1religion_denomination,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1religion_denom_other,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1home,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1home_other,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1guns,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1place_growing_up,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1highest_degree,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1elemen_secondary_choices,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1school_incmplt_highschool,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1high_school_choices,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1college_choices,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1after_bachelor_choices,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1major_college,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1major_bachelor,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1country_growing_up,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1us_state_grow_up,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1another_country_grow_up,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1us_citizen,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1us_citizen_options,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1work_last_week,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1profession,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1employer,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1work_tasks,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1unemployed_10_years,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1labor_union,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1household_income,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1income_group_placement,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1sixteen_yo_comparison,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1parental_compar_standards,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1social_class,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1financial_satisfaction,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1importance_democracy,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1american_pride,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1political_party,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1other_political_party,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1politcal_views,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1exec_branch_confidence,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1congress_confidence,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
